date,primary_type,district,arrest,year
2015-04-13 13:20:00+00:00,OTHER OFFENSE,7,True,2015
2010-03-21 02:53:00+00:00,ROBBERY,7,False,2010
2020-07-26 00:41:00+00:00,BATTERY,7,False,2020
2025-01-02 15:30:00+00:00,THEFT,8,False,2025
2004-09-22 11:35:00+00:00,PROSTITUTION,8,True,2004
2017-06-15 13:17:00+00:00,THEFT,8,False,2017
2022-10-28 12:20:00+00:00,THEFT,8,False,2022
2004-11-04 18:00:00+00:00,MOTOR VEHICLE THEFT,8,False,2004
2013-05-27 13:00:00+00:00,THEFT,9,False,2013
2016-07-16 23:00:00+00:00,THEFT,9,False,2016
2007-07-13 16:55:59+00:00,CRIMINAL DAMAGE,9,False,2007
2007-02-07 18:40:00+00:00,THEFT,9,False,2007
2024-03-22 04:28:00+00:00,ROBBERY,9,False,2024
2019-04-01 22:00:00+00:00,THEFT,9,False,2019
2019-06-03 18:44:00+00:00,CRIMINAL TRESPASS,9,True,2019
2024-10-23 23:00:00+00:00,CRIMINAL DAMAGE,10,False,2024
2007-01-07 12:53:00+00:00,ROBBERY,10,False,2007
2022-07-03 14:55:00+00:00,PUBLIC PEACE VIOLATION,10,True,2022
2024-02-05 10:50:00+00:00,ROBBERY,10,False,2024
2007-01-14 01:38:00+00:00,LIQUOR LAW VIOLATION,10,True,2007
2008-01-31 06:50:00+00:00,THEFT,11,False,2008
2008-11-07 20:15:00+00:00,ROBBERY,11,False,2008
2007-06-11 11:00:00+00:00,BATTERY,11,False,2007
2013-03-01 00:21:00+00:00,OTHER OFFENSE,11,False,2013
2008-03-20 09:00:00+00:00,NARCOTICS,11,True,2008
2002-09-20 14:07:18+00:00,CRIMINAL TRESPASS,12,True,2002
2004-02-28 18:00:00+00:00,THEFT,12,False,2004
2005-03-23 20:56:00+00:00,PROSTITUTION,12,True,2005
2001-10-08 23:33:57+00:00,BATTERY,12,False,2001
2019-04-15 20:00:00+00:00,CRIMINAL DAMAGE,14,False,2019
2001-02-15 13:00:00+00:00,NARCOTICS,14,True,2001
2002-10-07 08:30:00+00:00,OTHER OFFENSE,14,False,2002
2001-04-11 00:01:00+00:00,DECEPTIVE PRACTICE,14,False,2001
2004-07-29 13:36:24+00:00,ASSAULT,15,False,2004
2003-08-25 12:44:16+00:00,BATTERY,15,True,2003
2009-05-27 01:20:00+00:00,NARCOTICS,15,True,2009
2002-07-12 13:50:00+00:00,NARCOTICS,15,True,2002
2011-07-13 18:00:00+00:00,CRIMINAL DAMAGE,16,False,2011
2015-04-11 22:30:00+00:00,CRIMINAL DAMAGE,16,False,2015
2012-12-16 01:30:00+00:00,CRIMINAL DAMAGE,16,False,2012
2013-11-26 12:00:00+00:00,OTHER OFFENSE,16,False,2013
2024-10-03 06:30:00+00:00,MOTOR VEHICLE THEFT,16,False,2024
2011-08-07 22:20:00+00:00,ASSAULT,17,False,2011
2010-06-02 04:00:00+00:00,MOTOR VEHICLE THEFT,17,False,2010
2007-12-10 02:55:00+00:00,BURGLARY,17,False,2007
2009-07-30 02:10:00+00:00,ROBBERY,18,False,2009
2014-06-02 18:00:00+00:00,THEFT,19,False,2014
2008-01-07 09:30:00+00:00,THEFT,19,False,2008
2001-08-13 01:20:00+00:00,PROSTITUTION,19,True,2001
2019-11-29 11:27:00+00:00,DECEPTIVE PRACTICE,20,True,2019
2005-09-09 08:00:00+00:00,CRIMINAL DAMAGE,20,False,2005
2011-04-05 07:30:00+00:00,CRIMINAL DAMAGE,22,False,2011
2023-05-22 03:30:00+00:00,CRIMINAL DAMAGE,22,False,2023
2015-06-29 01:30:00+00:00,BATTERY,22,False,2015
2002-09-23 23:00:00+00:00,THEFT,19,False,2002
2018-09-08 01:47:00+00:00,BATTERY,25,True,2018
2014-11-25 13:30:00+00:00,CRIMINAL DAMAGE,25,False,2014
2003-04-01 21:00:00+00:00,CRIMINAL DAMAGE,25,False,2003
2018-06-18 11:45:00+00:00,BATTERY,25,False,2018
2010-09-30 11:00:00+00:00,THEFT,1,False,2010
2013-03-13 19:17:00+00:00,CRIMINAL TRESPASS,1,True,2013
2004-08-13 01:35:00+00:00,BATTERY,1,False,2004
2005-10-21 09:20:50+00:00,CRIMINAL TRESPASS,2,True,2005
2006-03-13 09:00:00+00:00,BURGLARY,2,False,2006
2003-02-13 11:10:00+00:00,CRIMINAL TRESPASS,2,True,2003
2004-02-24 19:45:00+00:00,NARCOTICS,2,True,2004
2015-02-06 23:30:00+00:00,BATTERY,2,False,2015
2001-10-11 12:15:00+00:00,NARCOTICS,2,True,2001
2009-03-23 09:00:00+00:00,OTHER OFFENSE,3,False,2009
2003-01-14 15:08:18+00:00,BATTERY,3,False,2003
2007-01-15 15:29:35+00:00,THEFT,4,False,2007
2002-11-30 23:15:00+00:00,ASSAULT,4,False,2002
2016-04-28 18:30:00+00:00,ROBBERY,4,False,2016
2024-07-23 23:30:00+00:00,THEFT,4,False,2024
2013-10-24 12:40:00+00:00,BATTERY,5,False,2013
2018-05-10 19:58:00+00:00,THEFT,5,False,2018
2012-03-29 04:00:00+00:00,BATTERY,5,False,2012
2013-11-06 22:00:00+00:00,CRIMINAL DAMAGE,5,False,2013
2016-04-02 12:40:00+00:00,THEFT,6,True,2016
2016-03-13 08:45:00+00:00,ROBBERY,6,False,2016
2013-09-10 11:15:00+00:00,BATTERY,6,False,2013
2007-05-20 03:15:00+00:00,BURGLARY,6,False,2007
2005-03-09 16:00:00+00:00,OTHER OFFENSE,6,False,2005
2006-12-08 20:49:00+00:00,BATTERY,6,False,2006
2016-03-12 19:15:00+00:00,BATTERY,6,True,2016
2012-06-13 16:06:00+00:00,GAMBLING,7,True,2012
2019-11-06 21:30:00+00:00,BATTERY,7,False,2019
2011-01-10 18:50:00+00:00,BATTERY,7,True,2011
2016-02-05 23:30:00+00:00,CRIMINAL DAMAGE,7,False,2016
2020-07-17 01:00:00+00:00,OTHER OFFENSE,7,False,2020
2021-04-04 01:31:00+00:00,CRIMINAL DAMAGE,8,False,2021
2007-04-13 17:55:00+00:00,OFFENSE INVOLVING CHILDREN,8,False,2007
2024-06-05 18:00:00+00:00,DECEPTIVE PRACTICE,8,False,2024
2007-11-25 15:05:00+00:00,CRIMINAL DAMAGE,8,False,2007
2008-03-14 22:00:00+00:00,OTHER OFFENSE,8,False,2008
2002-07-04 10:45:00+00:00,OTHER OFFENSE,8,False,2002
2011-11-20 00:15:00+00:00,ROBBERY,8,False,2011
2006-06-20 10:30:00+00:00,THEFT,8,False,2006
2010-08-14 16:00:00+00:00,DECEPTIVE PRACTICE,9,True,2010
2002-02-14 10:36:52+00:00,NARCOTICS,9,True,2002
2005-05-20 16:31:56+00:00,ASSAULT,9,False,2005
2014-04-05 18:10:00+00:00,ASSAULT,10,False,2014
